职位,城市,经验,学历,工资水平
其他,重庆,1年经验,大专,5750.0
开发工程师,深圳,5-7年经验,本科,16500.0
开发工程师,珠海,2年经验,大专,9000.0
开发工程师,合肥,1年经验,,9500.0
开发工程师,上海,1年经验,大专,9000.0
其他,武汉,无需经验,本科,20000.0
开发工程师,上海,3-4年经验,本科,12500.0
开发工程师,上海,5-7年经验,本科,20000.0
其他,深圳,3-4年经验,本科,15000.0
开发工程师,深圳,5-7年经验,本科,16500.0
开发工程师,深圳,3-4年经验,大专,15000.0
其他,武汉,3-4年经验,大专,18500.0
开发工程师,深圳,2年经验,大专,10000.0
开发工程师,深圳,1年经验,本科,12500.0
开发工程师,武汉,2年经验,本科,12500.0
讲师,西安,2年经验,本科,7000.0
开发工程师,南京,3-4年经验,本科,15000.0
其他,苏州,2年经验,本科,12500.0
开发工程师,异地招聘,3-4年经验,本科,12500.0
开发工程师,广州,2年经验,大专,13000.0
开发工程师,南京,2年经验,本科,11500.0
开发工程师,深圳,3-4年经验,本科,12500.0
数据分析,上海,2年经验,本科,15000.0
开发工程师,武汉,3-4年经验,本科,12500.0
开发工程师,武汉,2年经验,本科,12500.0
开发工程师,上海,5-7年经验,大专,22500.0
开发工程师,南京,3-4年经验,本科,9000.0
开发工程师,南京,2年经验,大专,9000.0
开发工程师,南昌,2年经验,大专,10000.0
开发工程师,青岛,1年经验,本科,10000.0
开发工程师,重庆,3-4年经验,本科,11500.0
其他,广州,3-4年经验,大专,8000.0
实习,大连,本科,本科,
开发工程师,上海,本科,本科,
开发工程师,杭州,1年经验,本科,7000.0
开发工程师,上海,本科,本科,
其他,上海,3-4年经验,本科,10500.0
开发工程师,上海,2年经验,大专,10000.0
实习,深圳,大专,大专,
开发工程师,嘉兴,大专,大专,7000.0
开发工程师,徐州,在校生\/应届生,本科,
其他,杭州,3-4年经验,大专,14500.0
开发工程师,重庆,3-4年经验,本科,7000.0
开发工程师,上海,硕士,硕士,
开发工程师,北京,1年经验,大专,7500.0
开发工程师,武汉,本科,本科,
其他,上海,5-7年经验,本科,33000.0
开发工程师,异地招聘,3-4年经验,本科,15500.0
其他,青岛,3-4年经验,本科,18000.0
其他,异地招聘,3-4年经验,大专,9000.0
其他,城市,,,
开发工程师,上海,无需经验,大专,7000.0
讲师,重庆,2年经验,大专,9000.0
其他,深圳,3-4年经验,大专,7000.0
开发工程师,无锡,1年经验,大专,9500.0
